title,seasons,genre,release_year.x,imdb_score,imdb_votes,runtime,release_year.y,outcome
Ganglands,1,Crime TV Shows,2021,7,2460,46,2021,Cancelled
Jailbirds New Orleans,1,Docuseries,2021,6.6,205,41,2021,Cancelled
Kota Factory,2,International TV Shows,2021,9.3,66985,42,2019,Renewed
Midnight Mass,1,TV Dramas,2021,7.7,102321,64,2021,Cancelled
The Great British Baking Show,9,British TV Shows,2021,8.6,9564,57,2010,Renewed
"Vendetta: Truth, Lies and The Mafia",1,Crime TV Shows,2021,6.7,232,39,2021,Cancelled
Bangkok Breaking,1,Crime TV Shows,2021,5.9,281,60,2021,Cancelled
Crime Stories: India Detectives,1,British TV Shows,2021,7.2,934,52,2021,Cancelled
Dear White People,4,TV Comedies,2021,6.1,24863,29,2017,Renewed
Falsa identidad,2,Crime TV Shows,2020,7,351,43,2018,Renewed
Jaguar,1,International TV Shows,2021,5.7,1718,43,2021,Cancelled
Monsters Inside: The 24 Faces of Billy Milligan,1,Crime TV Shows,2021,6.2,3038,61,2021,Cancelled
Resurrection: Ertugrul,5,International TV Shows,2018,7.9,35515,57,2014,Renewed
Love on the Spectrum,2,Docuseries,2021,8.6,5210,42,2019,Renewed
Chicago Party Aunt,1,TV Comedies,2021,5.3,1383,23,2021,Cancelled
Sex Education,3,British TV Shows,2020,8.3,251168,52,2019,Renewed
Squid Game,1,International TV Shows,2021,8,416738,54,2021,Cancelled
Chhota Bheem,3,Kids' TV,2021,4.1,822,22,2008,Renewed
He-Man and the Masters of the Universe,1,Kids' TV,2021,5.8,1618,26,2021,Cancelled
The Smart Money Woman,1,International TV Shows,2020,6.4,105,48,2020,Cancelled
Dharmakshetra,1,International TV Shows,2014,8.199999999999998,247,44,2014,Cancelled
Numberblocks,6,Kids' TV,2021,8.6,198,5,2017,Renewed
Saved by the Bell,9,Kids' TV,1994,7.1,34854,23,1989,Renewed
Stories by Rabindranath Tagore,1,International TV Shows,2015,8.8,1295,43,2015,Cancelled
Jack Whitehall: Travels with My Father,5,British TV Shows,2021,7.6,5388,46,2017,Renewed
The World's Most Amazing Vacation Rentals,2,Reality TV,2021,6.7,1278,35,2021,Renewed
Yowamushi Pedal,1,Anime Series,2013,7.7,808,24,2013,Cancelled
Lucifer,6,Crime TV Shows,2021,8.1,308291,47,2016,Renewed
Metal Shop Masters,1,Reality TV,2021,5.6,546,0,2021,Cancelled
Titipo Titipo,2,Kids' TV,2019,6.6,19,18,2018,Renewed
Mighty Raju,4,Kids' TV,2017,4.2,57,20,2010,Renewed
Into the Night,2,International TV Shows,2021,7.1,30746,36,2020,Renewed
The Circle,3,Reality TV,2021,7.3,6380,52,2020,Renewed
Kid Cosmic,2,Kids' TV,2021,7.9,1354,23,2021,Renewed
Octonauts: Above & Beyond,1,British TV Shows,2021,7.4,66,25,2021,Cancelled
On the Verge,1,TV Comedies,2021,6.5,2841,32,2021,Cancelled
Tobot Galaxy Detectives,2,Kids' TV,2019,7,13,13,2020,Renewed
Countdown: Inspiration4 Mission to Space,1,Docuseries,2021,7.9,1642,50,2021,Cancelled
Tayo the Little Bus,2,Kids' TV,2016,5.2,156,11,2010,Renewed
Dive Club,1,Kids' TV,2021,6.2,789,0,2021,Cancelled
Money Heist: From Tokyo to Berlin,1,Docuseries,2021,7.7,836,53,2021,Cancelled
Sharkdog,1,Kids' TV,2021,6.2,136,0,2021,Cancelled
Heroes of Goo Jit Zu,1,Kids' TV,2021,7.5,23,12,2019,Cancelled
Hotel Del Luna,1,International TV Shows,2019,8.199999999999998,7832,80,2019,Cancelled
Q-Force,1,Crime TV Shows,2021,6.4,4963,23,2021,Cancelled
Kuroko's Basketball,3,Anime Series,2015,8.3,8052,24,2012,Renewed
Major Dad,4,TV Comedies,1992,6.4,2866,24,1989,Renewed
Turning Point: 9/11 and the War on Terror,1,Docuseries,2021,8,8881,62,2021,Cancelled
Hometown Cha-Cha-Cha,1,International TV Shows,2021,8.5,9987,78,2021,Cancelled
The Ingenuity of the Househusband,1,International TV Shows,2021,6.7,396,6,2021,Cancelled
Bread Barbershop,2,Kids' TV,2020,7.3,125,11,2020,Renewed
I Heart Arlo,1,Kids' TV,2021,7,204,15,2021,Cancelled
Rebellion,2,International TV Shows,2016,7.1,3658,51,2016,Renewed
Titletown High,1,Reality TV,2021,5.4,318,34,2021,Cancelled
Family Reunion,4,Kids' TV,2021,6.4,2576,29,2019,Renewed
Clickbait,1,Crime TV Shows,2021,7.2,50140,46,2021,Cancelled
John of God: The Crimes of a Spiritual Healer,1,Crime TV Shows,2021,6.5,777,50,2021,Cancelled
Motel Makeover,1,International TV Shows,2021,4.8,688,30,2021,Cancelled
Open Your Eyes,1,International TV Shows,2021,6.5,1413,47,2021,Cancelled
